Key;EN;RU;DE;FR
item_name_fire_axe;fire axe;Пожарный топор;;
item_desc_fire_axe;;;;
item_name_hatchet;hatchet;Туристический топорик;;
item_desc_hatchet;;;;
item_name_splitting_maul;splitting maul;Колун;;
item_desc_splitting_maul;;;;
item_name_wood_axe;wood axe;Топор дровосека;;
item_desc_wood_axe;;;;
item_name_stone_axe_primitive;stone axe primitive;Каменный топор;;
item_desc_stone_axe_primitive;;;;
item_name_wooden_baseball_bat;wooden baseball bat;Бейсбольная бита;;
item_desc_wooden_baseball_bat;;;;
item_name_baseball_bat_with_nails;baseball bat with nails;Бита с гвоздями;;
item_desc_baseball_bat_with_nails;;;;
item_name_aluminum_baseball_bat;aluminum baseball bat;Металлическая бита;;
item_desc_aluminum_baseball_bat;;;;
item_name_crowbar;crowbar;Лом;;
item_desc_crowbar;;;;
item_name_lead_pipe;lead pipe;Металлическая труба;;
item_desc_lead_pipe;;;;
item_name_golf_club;golf club;Клюшка для гольфа;;
item_desc_golf_club;;;;
item_name_hockey_stick;hockey stick;Хоккейная клюшка;;
item_desc_hockey_stick;;;;
item_name_sledgehammer;sledgehammer;Кувалда;;
item_desc_sledgehammer;;;;
item_name_wooden_plank_weapon;wooden plank weapon;Доска;;
item_desc_wooden_plank_weapon;;;;
item_name_plank_with_nails;plank with nails;Доска с гвоздями;;
item_desc_plank_with_nails;;;;
item_name_shovel;shovel;Лопата;;
item_desc_shovel;;;;
item_name_garden_rake;garden rake;Грабли;;
item_desc_garden_rake;;;;
item_name_canoe_paddle;canoe paddle;Весло;;
item_desc_canoe_paddle;;;;
item_name_pool_cue;pool cue;Бильярдный кий;;
item_desc_pool_cue;;;;
item_name_claw_hammer;claw hammer;Молоток;;
item_desc_claw_hammer;;;;
item_name_frying_pan;frying pan;Сковорода;;
item_desc_frying_pan;;;;
item_name_rolling_pin;rolling pin;Скалка;;
item_desc_rolling_pin;;;;
item_name_pipe_wrench;pipe wrench;Гаечный ключ;;
item_desc_pipe_wrench;;;;
item_name_police_baton;police baton;Дубинка полицейская;;
item_desc_police_baton;;;;
item_name_brass_knuckles;brass knuckles;Кастет;;
item_desc_brass_knuckles;;;;
item_name_stone_hammer_primitive;stone hammer primitive;Молоток-гвоздодёр каменный;;
item_desc_stone_hammer_primitive;;;;
item_name_machete;machete;Мачете;;
item_desc_machete;;;;
item_name_katana;katana;Катана;;
item_desc_katana;;;;
item_name_scythe;scythe;Коса;;
item_desc_scythe;;;;
item_name_kitchen_knife;kitchen knife;Кухонный нож;;
item_desc_kitchen_knife;;;;
item_name_hunting_knife;hunting knife;Охотничий нож;;
item_desc_hunting_knife;;;;
item_name_meat_cleaver;meat cleaver;Нож для мяса (тесак);;
item_desc_meat_cleaver;;;;
item_name_screwdriver;screwdriver;Отвёртка;;
item_desc_screwdriver;;;;
item_name_scissors;scissors;Ножницы;;
item_desc_scissors;;;;
item_name_broken_glass_bottle;broken glass bottle;Разбитая бутылка;;
item_desc_broken_glass_bottle;;;;
item_name_stone_knife_primitive;stone knife primitive;Каменный нож;;
item_desc_stone_knife_primitive;;;;
item_name_sharpened_wooden_stick_spear;sharpened wooden stick spear;Заточенная палка;;
item_desc_sharpened_wooden_stick_spear;;;;
item_name_spear_with_knife_tied;spear with knife tied;Копьё с ножом;;
item_desc_spear_with_knife_tied;;;;
item_name_pitchfork;pitchfork;Вилы;;
item_desc_pitchfork;;;;
item_name_9mm_pistol_handgun;9mm pistol handgun;Пистолет 9 мм;;
item_desc_9mm_pistol_handgun;;;;
item_name_m1911_pistol;M1911 pistol;Пистолет .45;;
item_desc_m1911_pistol;;;;
item_name_.38_revolver;.38 revolver;Револьвер .38;;
item_desc_.38_revolver;;;;
item_name_.44_magnum_revolver;.44 magnum revolver;Револьвер .44 Magnum;;
item_desc_.44_magnum_revolver;;;;
item_name_pump_action_shotgun;pump action shotgun;Помповый дробовик;;
item_desc_pump_action_shotgun;;;;
item_name_double_barrel_shotgun;double barrel shotgun;Двустволка;;
item_desc_double_barrel_shotgun;;;;
item_name_sawed_off_shotgun;sawed off shotgun;Обрез;;
item_desc_sawed_off_shotgun;;;;
item_name_bolt_action_hunting_rifle;bolt action hunting rifle;Охотничья винтовка болтовая;;
item_desc_bolt_action_hunting_rifle;;;;
item_name_lever_action_rifle;lever action rifle;Винтовка с рычажным затвором;;
item_desc_lever_action_rifle;;;;
item_name_m16_assault_rifle;M16 assault rifle;Штурмовая винтовка M16;;
item_desc_m16_assault_rifle;;;;
item_name_semi_automatic_rifle;semi automatic rifle;Полуавтоматическая винтовка;;
item_desc_semi_automatic_rifle;;;;
item_name_.22_rifle;.22 rifle;Винтовка .22;;
item_desc_.22_rifle;;;;
item_name_9mm_ammo_box;9mm ammo box;Патроны 9 мм (коробка);;
item_desc_9mm_ammo_box;;;;
item_name_.45_ammo_box;.45 ammo box;Патроны .45 (коробка);;
item_desc_.45_ammo_box;;;;
item_name_.38_ammo_box;.38 ammo box;Патроны .38 (коробка);;
item_desc_.38_ammo_box;;;;
item_name_.44_ammo_box;.44 ammo box;Патроны .44 (коробка);;
item_desc_.44_ammo_box;;;;
item_name_12_gauge_shotgun_shells_box;12 gauge shotgun shells box;Дробь 12 калибра (коробка);;
item_desc_12_gauge_shotgun_shells_box;;;;
