id;Категория;Подкатегория;Название;Name (EN);Что искать (запрос);Тип модели;Риг/особенности;Трис;Иконка;Вес, кг;Милестоун;Статус;Заметка
1;Оружие ближнее;Топоры;Пожарный топор;fire axe;low poly fire axe 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;3.0;M2;Нет;
2;Оружие ближнее;Топоры;Туристический топорик;hatchet;low poly hatchet 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M2;Нет;
3;Оружие ближнее;Топоры;Колун;splitting maul;low poly splitting maul 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;3.5;M2;Нет;
4;Оружие ближнее;Топоры;Топор дровосека;wood axe;low poly wood axe 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;2.5;M2;Нет;
5;Оружие ближнее;Топоры;Каменный топор;stone axe primitive;low poly stone axe primitive 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.5;M2;Нет;крафт
6;Оружие ближнее;Длинное дробящее;Бейсбольная бита;wooden baseball bat;low poly wooden baseball bat 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M2;Нет;
7;Оружие ближнее;Длинное дробящее;Бита с гвоздями;baseball bat with nails;low poly baseball bat with nails 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.2;M2;Нет;крафт
8;Оружие ближнее;Длинное дробящее;Металлическая бита;aluminum baseball bat;low poly aluminum baseball bat 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M2;Нет;
9;Оружие ближнее;Длинное дробящее;Лом;crowbar;low poly crowbar 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.5;M2;Нет;
10;Оружие ближнее;Длинное дробящее;Металлическая труба;lead pipe;low poly lead pipe 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.5;M2;Нет;
11;Оружие ближнее;Длинное дробящее;Клюшка для гольфа;golf club;low poly golf club 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.8;M2;Нет;
12;Оружие ближнее;Длинное дробящее;Хоккейная клюшка;hockey stick;low poly hockey stick 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;0.8;M2;Нет;
13;Оружие ближнее;Длинное дробящее;Кувалда;sledgehammer;low poly sledgehammer 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;5.0;M2;Нет;
14;Оружие ближнее;Длинное дробящее;Доска;wooden plank weapon;low poly wooden plank weapon 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.0;M2;Нет;
15;Оружие ближнее;Длинное дробящее;Доска с гвоздями;plank with nails;low poly plank with nails 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;1.2;M2;Нет;крафт
16;Оружие ближнее;Длинное дробящее;Лопата;shovel;low poly shovel 3d model;В руке + на земле;статичная, точка хвата;800-1500;да;2.0;M2;Нет;
